编号,品牌,型号,前进档位数,倒档档位数,换档形式,最大扭矩(N*m),变速箱油容量(L),前进档速比,倒档速比
1,奔驰,G211-12,12,2,自动,0,0,"1: 14.93
12: 1.00",
2,奔驰,G210-16,16,2,手动,0,0,"1: 14.19
","1: 12.9
2: 10.66"
3,奔驰,G211-16,16,2,手动,0,0,,
4,奔驰,G240-16,16,2,手动,0,0,"1: 11.72
2: 9.75
3: 7.92
4: 6.58
5: 5.29
6: 4.4
7: 3.64
8: 3.02
9: 2.66
10: 2.22
11: 1.8
12: 1.5
13: 1.2
14: 1
15: 0.83
16: 0.69","1: 10.66
2: 8.86"
5,采埃孚,ZF12AS2540 AMT,12,2,手自一体,2500,13,"1: 12.29
2: 9.59
3: 7.41
4: 5.78
5: 4.57
6: 3.56
7: 2.69
8: 2.1
9: 1.62
10: 1.27
11: 1.00
12: 0.78","1: 11.38
2: 8.88"
6,采埃孚,16T1680,16,2,手动,1600,15,"1: 14.3
2: 11.95
3: 9.48
4: 7.92
5: 6.52
6: 5.45
7: 4.56
8: 3.81
9: 3.14
10: 2.62
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1
16: 0.84","1.12.97
2.10.84
"
7,采埃孚,ZF16S2230,16,2,手动,2200,15.5,"1: 13.8
2: 11.54
3: 9.49
4: 7.93
5: 6.53
6: 5.46
7: 4.57
8: 3.82
9: 3.02
10: 2.53
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1.00
16: 0.84","1: 12.92
2: 10.8"
8,采埃孚,ZF16S2530,16,2,手动,2500,14.5,"1: 13.8
2: 11.54
3: 9.49
4: 7.93
5: 6.53
6: 5.46
7: 4.57
8: 3.82
9: 3.02
10: 2.53
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1.00
16: 0.84","1: 12.92
2: 10.8"
9,采埃孚,ZF16T1880,16,2,手动,1800,15,"1: 14.3
2: 11.95
3: 9.48
4: 7.92
5: 6.52
6: 5.45
7: 4.56
8: 3.81
9: 3.14
10: 2.62
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1
16: 0.84","1.12.97
2.10.84
"
10,采埃孚,ZF16T2080,16,2,手自一体,2000,15,"1: 14.3
2: 11.95
3: 9.48
4: 7.92
5: 6.52
6: 5.45
7: 4.56
8: 3.81
9: 3.14
10: 2.62
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1
16: 0.84","1.12.97
2.10.84
"
11,采埃孚,ZF16T2280,16,2,手自一体,2200,14,"1: 14.3
2: 11.95
3: 9.48
4: 7.92
5: 6.52
6: 5.45
7: 4.56
8: 3.81
9: 3.14
10: 2.62
11: 2.08
12: 1.74
13: 1.43
14: 1.2
15: 1
16: 0.84","1.12.97
2.10.84
"
12,大齿,DC12J150T1,12,2,手动,1520,14,"1: 10.44
2: 8.65
3: 6.363
4: 5.272
5: 3.675
6: 3.045
7: 2.240
8: 1.856
9: 1.460
10: 1.210
11: 1.000
12: 0.828","1: 10.44
2: 8.651"
13,大齿,DC12J150T2,12,2,手动,1520,14,"1: 12.187
2: 9.750
3: 7.428
4: 5.942
5: 3.937
6: 3.150
7: 2.400
8: 1.920
9: 1.565
10: 1.252
11: 1.000
12: 0.800","1: 12.187
2: 9.75"
14,法士特, 10JSD140TB,10,2,手动,1200~2200,12——15,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
15,法士特, 10JSD180TB,10,2,手动,1200~2200,12——15,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
16,法士特, 10JSX220A,10,2,手动,2200,14.5,"1: 12.69
2: 9.29
3: 6.75
4: 4.9
5: 3.58
6: 2.59
7: 1.9
8: 1.38
9: 1
10: 0.73","1.13.75
2.2.8"
17,法士特,10JS160,10,2,手动,1600,14.5,"1: 14.58
2: 10.8
3: 7.92
4: 5.9
5: 4.38
6: 3.33
7: 2.47
8: 1.81
9: 1.35
10: 1","1.13.97
2.3.19"
18,法士特,10JS160A,10,2,手动,1600,14.5,"1: 10.81
2: 8
3: 5.87
4: 4.38
5: 3.26
6: 2.47
7: 1.83
8: 1.34
9: 1 
10: 0.74","1.11.35
2.2.37"
19,法士特,10JS160T,10,2,手动,1600,14,"1: 14.94
2: 11.16
3: 8.28
4: 6.09
5: 4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
20,法士特,10JS80T,10,2,手动,800,7.5,"1: 14.15
2: 10.38
3: 7.77
4: 5.74
5:4.34
6: 3.26
7: 2.39
8: 1.79
9: 1.32
10: 1","1.13.03
2.3"
21,法士特,10JS90A,10,2,手动,900,6,"1: 12.09
2: 8.4
3: 5.97
4: 4.32
5: 3.36
6: 2.8
7: 1.94
8: 1.38
9: 1
10: 0.78","1.10.92
2.2.53"
22,法士特,10JS95T,10,2,手动,950,7.5,"1: 14.15
2: 10.38
3: 7.77
4: 5.74
5: 4.34
6: 3.26
7: 2.39
8: 1.79
9: 1.32
10: 1","1.13.03
2.3"
23,法士特,10JSD120,10,2,手动,1200,12.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
24,法士特,10JSD120A,10,2,手动,1200,12.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.34
9: 1 
10: 0.74","1.10.56
2.2.37"
25,法士特,10JSD120B,10,2,手动,1200,12.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
26,法士特,10JSD120T,10,2,手动,1200,12,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5:4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
27,法士特,10JSD120TA,10,2,手动,1200,12,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
28,法士特,10JSD120TB,10,2,手动,1200~2200,12——15,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
29,法士特,10JSD140,10,2,手动,1200,12.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
30,法士特,10JSD140A,10,2,手动,1400,12.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.34
9: 1 
10: 0.74","1.10.55
2.2.37"
31,法士特,10JSD140B,10,2,手动,1400,12.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
32,法士特,10JSD140K,10,2,手动,1200~2200,12.5,"1: 15.24
2: 12.44
3: 8.71
4: 6.17
5: 4.46
6: 3.42
7: 2.79
8: 1.95
9: 1.38
10: 1","1.14.6
2.3.27"
33,法士特,10JSD140K,10,2,手动,1400,13,"1: 15.29
2: 12.48
3: 8.74
4: 6.19
5: 4.48
6: 3.42
7: 2.79
8: 1.95
9: 1.38
10: 1","1.14.65
2.3.27"
34,法士特,10JSD140T,10,2,手动,1400,12,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5:4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
35,法士特,10JSD140TA,10,2,手动,1400,12,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
36,法士特,10JSD160,10,2,手动,2200,14.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
37,法士特,10JSD160A,10,2,手动,1600,14.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.34
9: 1
10: 0.74","1.10.55
2.2.37"
38,法士特,10JSD160B,10,2,手动,1600,14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
39,法士特,10JSD160T,10,2,手动,1600,14.5,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5: 4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
40,法士特,10JSD160TA,10,2,手动,1600,14.5,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
41,法士特,10JSD160TB,10,2,手动,1200~2200,12——15,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
42,法士特,10JSD180,10,2,手动,2200,14.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
43,法士特,10JSD180A,10,2,手动,1800,14.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.34
9: 1
10: 0.74","1.10.55
2.2.37"
44,法士特,10JSD180B,10,2,手动,1800,14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
45,法士特,10JSD180K,10,2,手动,1200~2200,14.5,"1: 15.29
2: 14.48
3: 8.74
4: 6.19
5: 4.48
6: 3.42
7: 2.79
8: 1.95
9: 1.38
10: 1","1.14.65
2.3.27"
46,法士特,10JSD180T,10,2,手动,1800,14.5,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5: 4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
47,法士特,10JSD180TA,10,2,手动,1800,14.5,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
48,法士特,10JSD200,10,2,手动,2200,14.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
49,法士特,10JSD200A,10,2,手动,2000,14.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.3
9: 1
10: 0.73","1.10.55
2.2.37"
50,法士特,10JSD200B,10,2,手动,2000,14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
51,法士特,10JSD200T,10,2,手动,2000,15,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5:4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
52,法士特,10JSD200TA,10,2,手动,2000,15,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
53,法士特,10JSD220B,10,2,手动,2200,14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
54,法士特,10JSD220T,10,2,手动,2200,15,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5:4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
55,法士特,10JSD220TA,10,2,手动,2200,15,"1: 10.93
2: 8.17
3: 6.07
4: 4.46
5: 3.27
6: 2.45
7: 1.83
8: 1.36
9: 1 
10: 0.73","1.11.05
2.2.48"
56,法士特,10JSD220TB,10,2,手动,1200~2200,12——15,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5: 3.53
6: 2.64
7: 1.95
8: 1.38
9: 1.0
10: 0.73","1.13.73
2.2.84"
57,法士特,10JSDQX180T,10,2,手动,1200~2200,14,"1: 15.02
2: 11.02
3: 8.17
4: 6
5:4.46
6: 3.37
7: 2.47
8: 1.83
9: 1.34
10: 1","1.15.22
2.3.41"
58,法士特,10JSDX140,10,2,手动,1400~2200,12.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 2.47
9: 1.35 
10: 1","1.14.24
2.3.19"
59,法士特,10JSDX140A,10,2,手动,1200~2200,12.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5: 3.3
6: 2.47
7: 1.83
8: 1.3
9: 1
10: 0.73","1.10.55
2.2.37"
60,法士特,10JSDX140B,10,2,手动,1200~2200,12.5/14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5:3.53
6: 2.64
7: 1.95
8: 1.38
9: 1
10: 0.73","1.13.73
2.2.84"
61,法士特,10JSDX140T,10,2,手动,1400,12,"1: 14.96
2: 11.16
3: 8.28
4: 6.09
5:4.46
6: 3.35
7: 2.5
8: 1.86
9: 1.36
10: 1","1.15.07
2.3.38"
62,法士特,10JSDX180,10,2,手动,1400~2200,14.5,"1: 14.86
2: 11.02
3: 8.07
4: 6.02
5: 4.46
6: 3.33
7: 2.47
8: 1.81
9: 1.35 
10: 1","1.14.24
2.3.19"
63,法士特,10JSDX180A,10,2,手动,1200~2200,14.5,"1: 11.03
2: 8.12
3: 5.98
4: 4.46
5:3.3
6: 2.47
7: 1.83
8: 1.3
9: 1
10: 0.73","1.10.55
2.2.37"
64,法士特,10JSDX180B,10,2,手动,1200~2200,12.5/14.5,"1: 12.74
2: 9.43
3: 6.67
4: 4.83
5:3.53
6: 2.64
7: 1.95
8: 1.38
9: 1
10: 0.73","1.13.73
2.2.84"
65,法士特,10JSDX180K,10,2,手动,1200~2200,14.5,"1: 15.24
2: 12.44
3: 8.71
4: 6.17
5: 4.46
6: 3.42
7: 2.79
8: 1.95
9: 1.38
10: 1","1.14.6
2.3.27"
